,success,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,True,10.0,319.99999999999955,0.12013888888888893,2263.178406318111,18.766274127844323,8.137705443497069,1.6445796953514038,1.5640315201065293,569.9056022877743,0.2966410967623411,0.03642635144220307,2.991715592048926,5.520334503779391,1.0946231094183558,6.108284470587787,-0.0048697685962260095,3.431744218642031e-05,600.0,619.4414229725071,409.18281683154123,525.482855356287,109.06545304867893,409.971244454239,194.89498620628368,370.5096606445918,326.33318304854527,272.0664659861679,326.33318304854527,105.3050419053262,0.2729121403446563,0.009153409031417752,0.5247541269718776,2090.8163638784854
1,True,20.0,319.99999999999983,0.15138888888888893,2340.245631867286,18.814237077616855,8.061118286682063,1.6385332383060711,1.5683490249185001,571.8008029551305,0.3059605369760933,0.03622156057407011,2.97359113352992,5.4197614600255655,1.0941031750830195,5.984780957461457,-0.0006957302208014937,3.672100628908675e-05,600.0,671.9643644249969,424.6928098612516,530.5803623108721,113.01415505615932,431.79864079410004,197.34722449962624,391.03279610419355,339.94074848371895,273.84486588236956,339.94074848371895,114.23394195224947,0.2729121403446563,0.009153409031417752,0.5311043819180408,2116.1181505130326
2,True,30.0,319.99999999999994,0.18263888888888888,2422.95882530856,18.930779322821127,7.966149083175688,1.6325951765611721,1.5849293034399423,578.341001734096,0.31482421163191154,0.034426118256461836,2.9092085436391857,5.318059436529737,1.0916927093575401,5.860426425096407,-0.0031691671565443613,5.63443841903758e-05,600.0,728.3201530962492,441.7420437942653,535.6355940593384,117.26854064834903,455.60957981500957,200.56582818102132,413.4441164439158,354.52046493109606,271.9182141966334,354.52046493109606,123.81442602636237,0.2729121403446563,0.009153409031417752,0.5385771633058911,2145.892501597349
3,True,40.0,319.99999999999994,0.21388888888888888,2507.6293279328174,19.051972126697233,7.888353691386666,1.6297894290791557,1.5924719471532276,581.5317796338323,0.3237531379257551,0.03388975168871336,2.8795424721441436,5.227987259859706,1.0906462769023972,5.750737608014583,1.993250009491021e-11,5.760323443902589e-05,600.0,785.6022631425261,458.984182052451,541.409625853845,121.64084656346407,479.654827621005,203.6480626789431,436.05351154224644,368.17359787448186,273.2255830188979,368.17359787448186,133.55238473422943,0.2729121403446563,0.009153409031417752,0.5463296709911538,2176.781386689071
4,True,50.0,319.9999999999999,0.24513888888888893,2594.363766216209,19.133947706442278,7.850628619838839,1.6293038951892584,1.5888504053347845,580.712999117741,0.3335161516396575,0.03477553535063722,2.8901752354602768,5.146703248087556,1.0913701375482938,5.6521071521696165,2.4879653892639908e-11,6.068852797918649e-05,600.0,843.1295804354635,476.38002688234116,548.7244830451788,126.13746613742966,504.0826410926721,206.35673074681984,459.0082417705647,381.13512343287937,278.3078301464358,381.13512343287937,143.33202867402878,0.2729121403446563,0.009153409031417752,0.553963676075734,2207.1981131755815
5,True,60.0,319.99999999999994,0.2763888888888889,2683.075231671872,19.183824569573627,7.870135580528536,1.6342440553932374,1.579181721141533,577.8830532035312,0.3440236024935337,0.036460740319777016,2.922110704084618,5.08274423437113,1.092907192069405,5.574734833742389,1.2652989767047984e-11,5.543991106149328e-05,600.0,900.4697816563763,493.5566761321383,558.3014363326822,130.7547833488906,527.8792534017482,208.79125206041172,481.29199176110234,391.78816849806117,285.45135182233383,391.78816849806117,153.07986288158395,0.2729121403446563,0.009153409031417752,0.5612885280976965,2236.3830584353423
6,True,70.0,319.99999999999983,0.307638888888889,2774.314750139033,19.253727507146273,7.914467625402397,1.643267094725725,1.5691222168486962,574.9373092795314,0.35443083120752295,0.038294845017205495,2.955911782263548,5.0312311851340805,1.0943581419756627,5.512568756652286,5.346834086594754e-12,5.028980663379346e-05,600.0,958.8136284150704,510.85730715213475,569.1283985640058,135.52250753844896,551.4186583865155,211.30543224812683,503.2707749524452,400.67450347254686,292.9930581449878,400.67450347254686,162.99831683056195,0.2729121403446563,0.009153409031417752,0.5688014814812905,2266.317469749302
7,True,80.0,319.99999999999994,0.3388888888888889,2872.115412347311,19.438088302879137,7.865728441140305,1.6465461079954857,1.5694571441686245,575.4124870492747,0.3634451855178915,0.03884557934956259,2.952840498946396,4.961567603388648,1.0944262501302853,5.428710455552568,2.2311041902867146e-12,5.774985707766823e-05,600.0,1023.6946986933328,530.6685919224265,577.1058589086584,140.65386215556657,578.8725745439235,214.86875151294188,529.0603423893547,413.14869794568745,297.8252927644143,413.14869794568745,174.02809877786655,0.2729121403446563,0.009153409031417752,0.5784293815221387,2304.678618181531
8,True,90.0,319.99999999999994,0.3701388888888889,2972.203403731388,19.644204753901967,7.8537306229852115,1.6553971315676752,1.5673086116664854,574.8505405310473,0.37216425500731165,0.03978839557748457,2.9597788900703987,4.908680790702263,1.094815377663797,5.365209199955458,2.540190280342358e-13,6.21208636499344e-05,600.0,1089.2363594735982,550.3026890803458,586.7451976869622,145.9270391694684,605.4994265182537,218.37617492153137,553.9771690088177,422.98642028476274,303.62521974076867,422.98642028476274,185.17018111051166,0.2729121403446563,0.009153409031417752,0.5880804294304439,2343.131996360186
9,True,100.0,319.99999999999983,0.401388888888889,3074.2286209932317,19.873760367541614,7.876872560482635,1.6697667999310535,1.5643208646354336,573.8288477581926,0.38049302159297227,0.040891212816445886,2.9707117699273047,4.871979056720137,1.0952900587027468,5.321223088938249,1.8118839761882555e-13,6.544237055999704e-05,600.0,1155.2831852906354,569.6162771896345,598.0127194288547,151.32452872999312,631.0020189337251,221.83532345960867,577.7297004111582,430.00827428901664,309.74828445619204,430.00827428901664,196.398141499408,0.2729121403446563,0.009153409031417752,0.5976548257030857,2381.279965803728
