,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,10.0,319.99999999999994,0.12013888888888889,2841.6560406124217,3.172597352743482,489.07370242362055,0.13619847207848,0.5409118542872124,6.574671411768493,5.719049000756261,7.43597517303104,5.1859518043823855e-05,600.0,1287.3350737536207,617.2524923320437,198.0222196766579,139.05345620539157,432.21263279042824,502.51702822534503,382.1497482829963,220.20333083129754,222.6821636526762,220.20333083129754,218.84696253811552,0.6302766233350965,1.056272781809509,4208.585132375969
1,20.0,319.99999999999994,0.15138888888888888,3045.1670299932275,3.0519381632207163,539.3396646633361,0.13999999999695142,0.5104371779396234,6.162821541136481,5.889572072619803,6.910013541495906,9.509614505877357e-05,600.0,1457.170116508633,632.3339413270166,205.88791608668288,149.78480779612988,494.1189696418941,522.3551107723534,440.68901047826284,255.00103853072952,257.595858399989,255.00103853072952,247.7189198064676,0.6302766233350965,1.076376485947215,4288.6857955727355
2,30.0,319.99999999999994,0.18263888888888888,3261.3297566979522,3.3184962023977085,471.8633055735393,0.13999999999871524,0.5370767876433696,6.437926387388163,6.150047494335914,7.260268740813066,4.3697344542422985e-05,600.0,1590.7642040612861,698.7637757379771,210.52866562698435,161.2797216684055,506.58077779312083,535.2309139462569,449.20234678981336,230.9906245145247,233.11904553439496,230.9906245145247,270.4299146904186,0.6302766233350965,1.0972453740662915,4371.835237440114
3,40.0,319.99999999999994,0.21388888888888888,3502.9437638971585,3.3908150735612907,468.1840983223149,0.13999999999877477,0.5302242355135102,6.358006422903177,6.360350319427676,7.158075100084843,4.381809539894088e-05,600.0,1765.3035590353888,745.7056071378147,217.70045758026538,174.24075966749416,550.9500196914952,555.3805285458883,489.3695183298145,237.6332704066706,239.6096048603858,237.6332704066706,300.1016050360161,0.6302766233350965,1.1200330237158793,4462.629741633201
4,50.0,319.99999999999994,0.24513888888888888,3818.0345538763445,3.4510818241186696,477.2392012903418,0.13673473894699725,0.5115655890967093,6.216649983493505,6.574291662696099,6.978210359554564,6.412404140692419e-05,600.0,1984.2069201313789,815.2268002297062,227.29484383489995,191.31399742919461,614.1627024223687,585.082430225767,547.1366377840262,250.04123291583971,251.88149257531893,250.04123291583971,337.31517642233433,0.6302766233350965,1.1489786121060335,4577.959772894621
5,60.0,319.99999999999994,0.2763888888888889,4167.168967525956,3.6406582853777203,456.79734703845685,0.13141347493700056,0.507055912448201,6.270355103115426,6.808853884934517,7.04641294152606,7.738900617699568e-05,600.0,2211.028976162298,909.2530296373529,236.44942101590595,210.4463378125455,664.5826111914297,616.0651096971625,591.3886969308758,245.22433467507713,246.82067734945878,245.22433467507713,375.87492594759067,0.6302766233350965,1.1801365675242512,4702.104700404448
6,70.0,319.99999999999994,0.3076388888888889,4497.134660815029,3.7490807150312437,442.42991749741776,0.13434809067698528,0.5087119364818593,6.221991491490611,7.068850606693795,6.984986523708474,9.499927502856789e-05,600.0,2430.4816954881567,992.2334663472956,245.70427778946052,228.72496794727056,722.7805867245961,639.9775552295994,643.8286810648572,249.5563361733412,251.01791174931247,249.5563361733412,413.1818882329866,0.6302766233350965,1.2087924859077304,4816.280578208178
7,80.0,319.99999999999994,0.3388888888888889,4831.580093990474,3.833383965074894,429.5751553862913,0.14000000000043283,0.5126925635502616,6.147342058785637,7.33926378449378,6.890432113427864,3.311973653095783e-05,600.0,2654.4063583257353,1074.4706601126536,255.27138251783373,247.43744800918876,785.9624611396553,661.8766342565353,701.2013200993358,256.4524364810066,257.8134973331116,256.4524364810066,451.249080915375,0.6302766233350965,1.2371305024029584,4929.189816197376
8,90.0,319.99999999999994,0.3701388888888889,5215.692243200945,4.079035584562909,394.0823160034791,0.1400000000020422,0.5254852845845995,6.278554132441027,7.625968154791119,7.056839553799115,4.283421539367095e-05,600.0,2889.056019839255,1193.2366305107616,264.25737961907373,269.1487580172136,830.7155012412302,687.2754488046875,739.0974675615274,244.50022294359024,245.66968925242858,244.50022294359024,491.1395233726733,0.6302766233350965,1.2688821143534712,5055.7000929792675
9,100.0,319.99999999999994,0.4013888888888889,5641.005558037219,4.416430687146348,349.52473909533927,0.14000000000548318,0.5474728471720394,6.505423269238347,7.947182365590051,7.3468620130953575,5.424888603889888e-05,600.0,3129.3992486611332,1344.9678725967538,273.19554345576574,293.4502587078767,867.1235251841908,712.93557240791,767.8115565505997,225.57760422216555,226.54859490775485,225.57760422216555,531.9978722723926,0.6302766233350965,1.3031433122374239,5192.209497098134
