,mission_range,cruise_speed,duration,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission
1,10.0,36.0,0.36666666666666664,454.59296387287156,24.999999999999858,6.000000000000069,1.4491580196390532,1.9999999999999984,122.99788828861338,3.53401378609409,0.14036778500767297,1.2195331325366054,9.852022278520458,7.20811409714501,12.009588191197587,-1.0725972243858113,357913.99641538615,600.0,44.627371188240076,54.35019868106099,326.92018936578523,26.954342817375665,46.14209661949127,14.204398125462042,37.85250223700967,84.41964366865531,79.85189662514087,84.41964366865531,7.586653102000812
2,10.0,72.0,0.22777777777777777,748.122409635701,24.999999999999485,6.0,1.6884325368608262,1.9999999999999492,226.815147733499,1.4539792294706004,0.033320604076367374,1.3226629834815908,9.110098370659095,4.379381478949638,10.907396646326264,0.363049878944981,177929.01635567503,600.0,53.935127063606394,93.20459622079512,379.0914647626561,43.707551708371106,82.12012419593403,18.87234777518498,68.5885398591127,102.34285618395175,64.45839024319073,102.34285618395175,9.168971600813085
3,10.0,108.0,0.18148148148148147,1168.9279645770564,24.999999999999428,6.000000000000077,1.6279242477583087,1.5691399638493257,423.16197439847133,1.009696309559234,0.03314415781390616,1.355420941245003,7.320084400736902,2.934082500639943,8.413254832251951,1.44329815654487e-07,41668.112830659586,600.0,96.84340044557047,166.22718409899184,441.5021229647517,68.48294463280443,159.68777142233253,36.95357154846529,138.93885159593734,172.017114703967,137.37449592576192,172.017114703967,16.46337807574698
4,10.0,144.0,0.15833333333333333,1577.6320080332619,24.999999995765876,6.0,1.6279242248280124,1.3450650388681558,686.2693593182705,0.7665337056718424,0.029903194302162674,1.3000000008611525,6.423615236582155,2.180709192193627,7.241942250383938,7.733264695275466e-09,6.517519731169439e-08,600.0,145.36981223451286,244.1526074002245,494.81093218563717,93.29891150722196,245.59877108590342,63.70066020434395,217.84653253063738,232.16119551882974,239.5277620917805,232.16119551882974,24.71286807986719
5,10.0,180.0,0.14444444444444443,1602.7222787940789,25.0,6.0,1.6279242232414408,1.7223839938079697,669.9122300775888,0.49838365999191725,0.012448872860118868,1.3000000580281952,6.379116489521528,1.6319617604043775,7.185033119706911,-2.771450624550198e-09,1.4589630582346392e-05,600.0,151.83039903519466,258.11058102642426,497.94092445159464,94.8441939183589,251.2451812765521,90.78990018649074,223.0640070952737,235.8534304325091,155.80747642955768,235.8534304325091,25.811167835983095
6,10.0,216.0,0.13518518518518519,1632.2183962366319,25.0,6.000000000319513,1.6279242235618117,1.0000000000175882,1384.6153846080979,0.3524693011495964,0.03043185281914912,1.2999999999839769,6.328012767606632,1.4540912502268148,7.11981611630284,-1.1590230997171602e-09,4.882541368342483e-08,600.0,158.42104087207227,275.5301548931799,501.60352627021325,96.66389516590051,257.9353829044132,120.90848742672621,229.2500774702881,240.1940204547436,548.4653398924877,240.1940204547436,26.931576948252285
7,10.0,252.0,0.1285714285714286,1688.003967447128,25.0,6.000000075731391,1.627924199924062,1.0769230866905808,1499.999989278545,0.26780760947190896,0.023790602272293005,1.2999999975011554,6.234750470100646,1.2381090741417722,7.001178873228606,-2.1610409817185428e-07,6.309612086392409e-08,600.0,172.78363377864846,306.6236441487042,508.4825118850704,100.11442882411723,270.74122301158894,175.23850522046308,241.1028196839516,248.40332163507344,583.6060835083462,248.40332163507344,29.373217742370237
8,10.0,288.0,0.12361111111111112,1774.798175286146,24.640085505624437,6.000000000356176,1.613944087538613,1.4049884770836498,1313.9984119916785,0.21873200176750018,0.013170131641560268,1.3000008579567566,6.0512750257356664,1.0281060123665327,6.769205900635711,0.00017546207676311099,0.00021705753232710386,600.0,196.23660764785848,354.54503350344584,518.5254153860061,105.50585162134334,293.29325931114494,259.71360243923885,262.1870572912357,265.7200328133777,421.97605606759606,265.7200328133777,33.36022330013594
9,10.0,324.0,0.11975308641975307,1871.8077504116095,22.163616658434602,6.0,1.514608243754408,1.3846153712963771,1500.0,0.20263811218425634,0.012348668875307695,1.3000000125050681,5.583209962500343,0.9055717620023049,6.185765066145364,-3.0310615173334554e-07,1.3539530981010319e-08,600.0,226.32224119870563,407.4963672041852,526.4252282314155,111.56403013679353,335.25655724638966,339.8271984057903,302.59923071698864,318.20932543576544,500.7528709744438,318.20932543576544,38.47478100377996
10,10.0,360.0,0.11666666666666667,2006.2849877440033,20.969994378262953,6.000000748689173,1.4647616568456931,1.5384619436627824,1499.999329440856,0.18594300617355145,0.009534180553546137,1.3000002387564038,5.250590177992284,0.7797382564886788,5.778224042933218,-2.244027424325168e-06,0.0009016327545039193,600.0,264.2799104093982,481.4414090420896,540.5771458201581,120.01654967260166,382.1065670204649,464.4355327871682,347.2148142468956,364.6791988442613,477.3110676062225,364.6791988442613,44.92758476959769
